TransactionID,CustomerID,Age,Gender,Occupation,Income,AccountBalance,TransactionAmount,TransactionType,Timestamp,Location,DeviceUsed,CreditScore,PreviousFraudHistory,DailyTransactionCount,Fraud
TXN014383,CUST01487,26,Female,Retired,15882.49,910.24,82.17,Transfer,2025-03-29 10:50:28,Houston,Mobile App,523.0,0,1,No
TXN012900,CUST00880,29,Male,Salaried,89607.27,35560.02,198.32,Transfer,2025-04-10 16:12:39,New York,Known Device,582.0,0,3,No
TXN016258,CUST00641,45,Female,Unemployed,5335.81,141.63,37.4,Transfer,2025-01-05 18:20:24,Phoenix,Known Device,789.0,0,1,No
TXN002953,CUST01819,23,Female,Retired,44444.41,3933.18,42.99,Withdrawal,2025-11-21 15:28:55,Los Angeles,Known Device,723.0,0,3,No
TXN009597,CUST01880,48,Male,Unemployed,2823.63,1753.17,149.42,Deposit,2025-02-11 09:07:58,Los Angeles,Known Device,587.0,0,1,No
TXN011128,CUST01510,34,Male,Salaried,45742.03,25585.15,200.2,Withdrawal,2025-01-05 17:12:14,Los Angeles,Known Device,633.0,0,2,No
TXN027810,CUST01147,67,Male,Salaried,55196.03,758.98,235.48,Deposit,2025-09-23 11:21:48,Chicago,Mobile App,706.0,0,2,No
TXN018026,CUST01653,63,Female,Business Owner,77948.48,174.44,73.79,Transfer,2025-03-11 13:48:01,Houston,Known Device,746.0,0,3,No
TXN012349,CUST01184,48,Male,Salaried,56049.34,33280.07,5.0,Deposit,2025-10-05 19:18:54,Atlanta,Mobile App,557.0,0,3,No
TXN020484,CUST00001,46,Male,Student,7668.17,7248.01,93.4,Deposit,2025-05-21 13:05:12,Miami,Mobile App,584.0,0,1,No
TXN017457,CUST00968,21,Female,Student,10950.22,1412.28,493.52,Deposit,2025-11-05 10:58:14,San Antonio,Known Device,615.0,0,2,No
TXN017913,CUST01492,38,Male,Salaried,59272.35,32350.88,212.74,Transfer,2025-12-01 15:38:19,San Antonio,Known Device,650.0,0,2,No
TXN014848,CUST00846,31,Male,Salaried,50171.59,34340.47,97.08,Deposit,2025-03-11 18:34:34,Denver,Known Device,828.0,0,2,No
TXN018828,CUST00723,37,Female,Student,3357.66,1969.69,130.66,Transfer,2025-11-28 19:32:20,Phoenix,Known Device,618.0,0,1,No
TXN003559,CUST01009,31,Male,Retired,42323.96,21483.3,64.54,Payment,2025-05-18 15:28:59,Los Angeles,Known Device,578.0,0,3,No
TXN009365,CUST00695,56,Male,Salaried,60663.36,23168.38,52.12,Payment,2025-04-28 21:18:12,Philadelphia,Mobile App,742.0,0,3,No
TXN011900,CUST00106,39,Male,Student,9937.8,3243.68,82.97,Transfer,2025-11-03 15:41:46,Denver,Mobile App,559.0,0,1,No
TXN023975,CUST00995,47,Male,Salaried,56144.57,20918.58,20.18,Transfer,2025-11-23 09:40:13,Boston,Known Device,750.0,0,3,No
TXN029648,CUST00169,32,Female,Self-Employed,47910.78,17503.8,32.4,Payment,2025-09-12 10:12:59,Philadelphia,Known Device,623.0,0,3,No
TXN021621,CUST01690,24,Male,Retired,36551.47,7018.64,322.69,Transfer,2025-07-22 15:08:19,Seattle,Known Device,763.0,1,3,No
TXN029176,CUST01547,20,Male,Student,6127.31,77.77,306.53,Transfer,2025-09-04 20:58:21,Houston,Web Browser,557.0,0,1,No
TXN020664,CUST01202,55,Female,Salaried,106041.59,352.77,2301.49,Withdrawal,2025-02-15 00:42:34,Austin,Unknown Device,688.0,0,11,Yes
TXN028830,CUST00367,36,Female,Student,8528.92,2083.07,3956.03,Payment,2025-09-27 01:31:44,Denver,New Device,646.0,0,10,Yes
TXN015618,CUST01805,36,Male,Business Owner,93313.68,25171.82,279.64,Payment,2025-04-08 11:43:47,Chicago,Known Device,593.0,0,2,No
TXN024440,CUST00980,44,Male,Salaried,54311.85,46962.4,254.11,Deposit,2025-01-27 15:57:57,Houston,Known Device,850.0,0,3,No
TXN001370,CUST01531,60,Male,Unemployed,5003.7,1431.26,68.46,Transfer,2025-08-25 13:23:42,Atlanta,Web Browser,758.0,0,3,No
TXN022365,CUST01645,38,Male,Business Owner,77583.75,63280.89,69.34,Deposit,2025-09-07 19:25:40,Chicago,Mobile App,729.0,1,1,No
TXN027425,CUST01560,34,Male,Self-Employed,40964.6,14192.87,17.74,Transfer,2025-02-08 17:44:16,Dallas,Mobile App,613.0,0,2,No
TXN019761,CUST00014,52,Male,Business Owner,,40522.4,151.4,Transfer,2025-05-16 13:40:18,San Antonio,Known Device,566.0,0,3,No
TXN021336,CUST00606,29,Male,Retired,48908.81,29751.13,213.2,Withdrawal,2025-12-20 13:04:58,San Antonio,Known Device,702.0,0,2,No
TXN026382,CUST01888,36,Female,Retired,26854.44,22209.32,51.93,Transfer,2025-03-07 15:41:21,Austin,Known Device,586.0,1,3,No
TXN007449,CUST01314,24,Male,Student,7778.73,3037.7,50.7,Deposit,2025-10-24 14:27:24,Seattle,Mobile App,602.0,0,1,No
TXN021802,CUST01934,38,Male,Business Owner,106383.47,49720.63,65.35,Withdrawal,2025-10-01 06:56:44,Austin,Known Device,431.0,0,2,No
TXN008697,CUST00234,21,Female,Salaried,58863.27,23921.5,19.91,Transfer,2025-04-03 13:07:22,Denver,Known Device,706.0,0,2,No
TXN018316,CUST01464,34,Male,Salaried,37030.91,19366.44,288.56,Deposit,2025-09-06 15:38:49,Dallas,Mobile App,818.0,0,2,No
